area_name,id,date,confirmed_cases,new_cases,movement_score,stationary_score,lag_adjusted_cases
"Accomack, Virginia, US",51001.0,03/06/2020,0,0,-0.00896,0.12108,0
"Accomack, Virginia, US",51001.0,03/07/2020,0,0,0.02265,0.16152,0
"Accomack, Virginia, US",51001.0,03/08/2020,0,0,0.04925,0.17446,0
"Accomack, Virginia, US",51001.0,03/09/2020,0,0,0.0478,0.1273,0
"Accomack, Virginia, US",51001.0,03/10/2020,0,0,0.07894,0.1256,0
"Accomack, Virginia, US",51001.0,03/11/2020,0,0,0.05544,0.12291,0
"Accomack, Virginia, US",51001.0,03/12/2020,0,0,0.06911,0.11194,0
"Accomack, Virginia, US",51001.0,03/13/2020,0,0,0.0369,0.10475,0
"Accomack, Virginia, US",51001.0,03/14/2020,0,0,0.00793,0.14522000000000002,0
"Accomack, Virginia, US",51001.0,03/15/2020,0,0,-0.03762,0.20313,1
"Accomack, Virginia, US",51001.0,03/16/2020,0,0,-0.07779,0.15255,0
"Accomack, Virginia, US",51001.0,03/17/2020,0,0,-0.08759,0.16091,0
"Accomack, Virginia, US",51001.0,03/18/2020,0,0,-0.05782,0.16548,0
"Accomack, Virginia, US",51001.0,03/19/2020,0,0,-0.10225,0.15062,0
"Accomack, Virginia, US",51001.0,03/20/2020,1,1,-0.06152000000000001,0.15,1
"Accomack, Virginia, US",51001.0,03/21/2020,1,0,-0.26288,0.23524,0
"Accomack, Virginia, US",51001.0,03/22/2020,1,0,-0.21946,0.26288,0
"Accomack, Virginia, US",51001.0,03/23/2020,1,0,-0.27079000000000003,0.22028000000000006,0
"Accomack, Virginia, US",51001.0,03/24/2020,1,0,-0.14737,0.18807,1
"Accomack, Virginia, US",51001.0,03/25/2020,2,1,-0.28249,0.2349,3
"Accomack, Virginia, US",51001.0,03/26/2020,2,0,-0.18755,0.17925,1
"Accomack, Virginia, US",51001.0,03/27/2020,2,0,-0.17071,0.16441,0
"Accomack, Virginia, US",51001.0,03/28/2020,2,0,-0.24727,0.23201,3
"Accomack, Virginia, US",51001.0,03/29/2020,3,1,-0.27517,0.25442,-2
"Accomack, Virginia, US",51001.0,03/30/2020,6,3,-0.18488,0.18797,0
"Accomack, Virginia, US",51001.0,03/31/2020,7,1,-0.18816,0.22006,3
"Accomack, Virginia, US",51001.0,04/01/2020,7,0,-0.23506,0.19729,0
"Accomack, Virginia, US",51001.0,04/02/2020,10,3,-0.23245,0.20541,0
"Accomack, Virginia, US",51001.0,04/03/2020,8,-2,-0.19204,0.18658,0
"Accomack, Virginia, US",51001.0,04/04/2020,8,0,-0.31138000000000005,0.22947,0
"Accomack, Virginia, US",51001.0,04/05/2020,11,3,-0.2515,0.25954,1
"Accomack, Virginia, US",51001.0,04/06/2020,11,0,-0.2274,0.19541,3
"Accomack, Virginia, US",51001.0,04/07/2020,11,0,-0.16360999999999998,0.19551,0
"Accomack, Virginia, US",51001.0,04/08/2020,11,0,-0.20749,0.20446,0
"Accomack, Virginia, US",51001.0,04/09/2020,11,0,-0.15413,0.18584,0
"Accomack, Virginia, US",51001.0,04/10/2020,12,1,-0.21235,0.20421,0
"Accomack, Virginia, US",51001.0,04/11/2020,15,3,-0.1803,0.20675,4
"Accomack, Virginia, US",51001.0,04/12/2020,15,0,-0.30733,0.26789,9
"Accomack, Virginia, US",51001.0,04/13/2020,15,0,-0.33514,0.25339,5
"Accomack, Virginia, US",51001.0,04/14/2020,15,0,-0.17227,0.18773,9
"Accomack, Virginia, US",51001.0,04/15/2020,15,0,-0.16005999999999998,0.20352,10
"Accomack, Virginia, US",51001.0,04/16/2020,19,4,-0.16462000000000002,0.19163,0
"Accomack, Virginia, US",51001.0,04/17/2020,28,9,-0.1569,0.1816,7
"Accomack, Virginia, US",51001.0,04/18/2020,33,5,-0.30066,0.24438,17
"Accomack, Virginia, US",51001.0,04/19/2020,42,9,-0.22871,0.26387,24
"Accomack, Virginia, US",51001.0,04/20/2020,52,10,-0.29433000000000004,0.23602,46
"Accomack, Virginia, US",51001.0,04/21/2020,52,0,-0.17228,0.19543,41
"Accomack, Virginia, US",51001.0,04/22/2020,59,7,-0.15809,0.19224,8
"Accomack, Virginia, US",51001.0,04/23/2020,76,17,-0.19556,0.20296,28
"Accomack, Virginia, US",51001.0,04/24/2020,100,24,-0.22706,0.20102,6
"Accomack, Virginia, US",51001.0,04/25/2020,146,46,-0.21868,0.2324,35
"Accomack, Virginia, US",51001.0,04/26/2020,187,41,-0.29207,0.29161,39
"Accomack, Virginia, US",51001.0,04/27/2020,195,8,-0.26655,0.23579,50
"Accomack, Virginia, US",51001.0,04/28/2020,223,28,-0.20029,0.20002,47
"Accomack, Virginia, US",51001.0,04/29/2020,229,6,-0.17075,0.18281,25
"Accomack, Virginia, US",51001.0,04/30/2020,264,35,-0.23236,0.22254,4
"Accomack, Virginia, US",51001.0,05/01/2020,303,39,-0.16286,0.17808,4
"Accomack, Virginia, US",51001.0,05/02/2020,353,50,-0.17167000000000002,0.20223,30
"Accomack, Virginia, US",51001.0,05/03/2020,400,47,-0.18308,0.23597,0
"Accomack, Virginia, US",51001.0,05/04/2020,425,25,-0.14849,0.19753,33
"Accomack, Virginia, US",51001.0,05/05/2020,429,4,-0.1199,0.18577,12
"Accomack, Virginia, US",51001.0,05/06/2020,433,4,-0.18452,0.20218,16
"Accomack, Virginia, US",51001.0,05/07/2020,463,30,-0.16293,0.18794,6
"Accomack, Virginia, US",51001.0,05/08/2020,463,0,-0.15085,0.17620999999999998,15
"Accomack, Virginia, US",51001.0,05/09/2020,496,33,-0.16990999999999998,0.22723,48
"Accomack, Virginia, US",51001.0,05/10/2020,508,12,-0.15872,0.24415,55
"Accomack, Virginia, US",51001.0,05/11/2020,524,16,-0.2095,0.21829,20
"Accomack, Virginia, US",51001.0,05/12/2020,530,6,-0.2007,0.20145,20
"Accomack, Virginia, US",51001.0,05/13/2020,545,15,-0.11739,0.2031,2
"Accomack, Virginia, US",51001.0,05/14/2020,593,48,-0.12901,0.18926,11
"Accomack, Virginia, US",51001.0,05/15/2020,648,55,-0.15053,0.16164,8
"Accomack, Virginia, US",51001.0,05/16/2020,668,20,-0.10378,0.17739000000000002,0
"Accomack, Virginia, US",51001.0,05/17/2020,688,20,-0.0973,0.22794,2
"Accomack, Virginia, US",51001.0,05/18/2020,690,2,-0.19767,0.23175,11
"Accomack, Virginia, US",51001.0,05/19/2020,701,11,-0.15838,0.20323,5
"Accomack, Virginia, US",51001.0,05/20/2020,709,8,-0.1808,0.19094,4
"Accomack, Virginia, US",51001.0,05/21/2020,709,0,-0.12884,0.18725,27
"Accomack, Virginia, US",51001.0,05/22/2020,711,2,-0.11398,0.1751,22
"Accomack, Virginia, US",51001.0,05/23/2020,722,11,-0.08965,0.16291,27
"Accomack, Virginia, US",51001.0,05/24/2020,727,5,-0.1048,0.20399,20
"Accomack, Virginia, US",51001.0,05/25/2020,731,4,-0.18778,0.20945,36
"Accomack, Virginia, US",51001.0,05/26/2020,758,27,-0.06665,0.16316,46
"Accomack, Virginia, US",51001.0,05/27/2020,780,22,-0.05276,0.17181,8
"Accomack, Virginia, US",51001.0,05/28/2020,807,27,-0.06667000000000001,0.16393,22
"Accomack, Virginia, US",51001.0,05/29/2020,827,20,-0.12574000000000002,0.15927,14
"Accomack, Virginia, US",51001.0,05/30/2020,863,36,-0.08553999999999999,0.16848,13
"Accomack, Virginia, US",51001.0,05/31/2020,909,46,0.03021,0.19343,3
"Accomack, Virginia, US",51001.0,06/01/2020,917,8,-0.053729999999999986,0.15647,1
"Accomack, Virginia, US",51001.0,06/02/2020,939,22,-0.03729,0.1711,13
"Accomack, Virginia, US",51001.0,06/03/2020,953,14,-0.03155,0.15068,0
"Accomack, Virginia, US",51001.0,06/04/2020,966,13,0.04021,0.14867,0
"Accomack, Virginia, US",51001.0,06/05/2020,969,3,-0.03596,0.13915999999999998,1
"Accomack, Virginia, US",51001.0,06/06/2020,970,1,0.0442,0.16328,0
"Accomack, Virginia, US",51001.0,06/07/2020,983,13,0.12139,0.18829,3
"Accomack, Virginia, US",51001.0,06/08/2020,983,0,-0.004079999999999999,0.15712,2
"Accomack, Virginia, US",51001.0,06/09/2020,983,0,0.01018,0.15392,4
"Accomack, Virginia, US",51001.0,06/10/2020,984,1,-0.00945,0.15209,3
"Accomack, Virginia, US",51001.0,06/11/2020,984,0,-0.05106,0.14294,11
"Accomack, Virginia, US",51001.0,06/12/2020,987,3,-0.07215,0.14315,11
"Accomack, Virginia, US",51001.0,06/13/2020,989,2,0.03617,0.15279,0
"Accomack, Virginia, US",51001.0,06/14/2020,993,4,0.24087,0.18627,4
"Accomack, Virginia, US",51001.0,06/15/2020,996,3,0.02455,0.17003,2
"Accomack, Virginia, US",51001.0,06/16/2020,1007,11,-0.0285,0.16895,7
"Accomack, Virginia, US",51001.0,06/17/2020,1018,11,-0.09565,0.16965999999999998,1
"Accomack, Virginia, US",51001.0,06/18/2020,1018,0,-0.01053,0.16577,1
"Accomack, Virginia, US",51001.0,06/19/2020,1022,4,0.01335,0.13555,1
"Accomack, Virginia, US",51001.0,06/20/2020,1024,2,0.08152999999999999,0.13556,3
"Accomack, Virginia, US",51001.0,06/21/2020,1031,7,0.12549000000000002,0.17407999999999998,0
"Accomack, Virginia, US",51001.0,06/22/2020,1032,1,0.02721,0.14168,2
"Accomack, Virginia, US",51001.0,06/23/2020,1033,1,0.00359,0.12965,0
"Accomack, Virginia, US",51001.0,06/24/2020,1034,1,0.00865,0.1365,0
"Accomack, Virginia, US",51001.0,06/25/2020,1037,3,0.01223,0.14174,3
"Accomack, Virginia, US",51001.0,06/26/2020,1037,0,0.04604,0.12922999999999998,1
"Accomack, Virginia, US",51001.0,06/27/2020,1039,2,0.04554,0.14413,-1
"Accomack, Virginia, US",51001.0,06/28/2020,1039,0,0.25751,0.16022,0
"Accomack, Virginia, US",51001.0,06/29/2020,1039,0,0.01217,0.1562,1
"Accomack, Virginia, US",51001.0,06/30/2020,1042,3,-0.01124,0.13917000000000002,1
"Accomack, Virginia, US",51001.0,07/01/2020,1043,1,0.0164,0.13238,0
"Accomack, Virginia, US",51001.0,07/02/2020,1042,-1,0.0353,0.12138,-2
"Accomack, Virginia, US",51001.0,07/03/2020,1042,0,0.02058,0.12829000000000002,0
"Accomack, Virginia, US",51001.0,07/04/2020,1043,1,0.04167,0.13514,0
"Accomack, Virginia, US",51001.0,07/05/2020,1044,1,0.29764,0.14945,0
"Accomack, Virginia, US",51001.0,07/06/2020,1044,0,0.06302,0.14298,0
"Accomack, Virginia, US",51001.0,07/07/2020,1042,-2,0.03704,0.14993,0
"Accomack, Virginia, US",51001.0,07/08/2020,1042,0,-0.00199,0.13849,-1
"Accomack, Virginia, US",51001.0,07/09/2020,1042,0,0.032260000000000004,0.14309000000000002,4
"Accomack, Virginia, US",51001.0,07/10/2020,1042,0,-0.028960000000000007,0.14203,0
"Accomack, Virginia, US",51001.0,07/11/2020,1042,0,0.03174,0.15895,0
"Accomack, Virginia, US",51001.0,07/12/2020,1042,0,0.17812,0.17269,3
"Accomack, Virginia, US",51001.0,07/13/2020,1041,-1,0.02015,0.14867,3
"Accomack, Virginia, US",51001.0,07/14/2020,1045,4,-0.00492,0.14693,1
"Accomack, Virginia, US",51001.0,07/15/2020,1045,0,-0.02525,0.13267,1
"Accomack, Virginia, US",51001.0,07/16/2020,1045,0,0.06282,0.11848,4
"Accomack, Virginia, US",51001.0,07/17/2020,1048,3,0.02075,0.12282,0
"Accomack, Virginia, US",51001.0,07/18/2020,1051,3,0.09368,0.14597000000000002,2
"Accomack, Virginia, US",51001.0,07/19/2020,1052,1,0.32972,0.17044,0
"Accomack, Virginia, US",51001.0,07/20/2020,1053,1,-0.06797,0.1582,1
"Accomack, Virginia, US",51001.0,07/21/2020,1057,4,0.00302,0.15400999999999998,3
"Accomack, Virginia, US",51001.0,07/22/2020,1057,0,-0.02888,0.14966,2
"Accomack, Virginia, US",51001.0,07/23/2020,1059,2,-0.00329,0.15561,4
"Accomack, Virginia, US",51001.0,07/24/2020,1059,0,-0.03313,0.13748,3
"Accomack, Virginia, US",51001.0,07/25/2020,1060,1,0.04521,0.15707000000000002,2
"Accomack, Virginia, US",51001.0,07/26/2020,1063,3,0.16615,0.17269,0
"Accomack, Virginia, US",51001.0,07/27/2020,1065,2,0.04171,0.14908,3
"Accomack, Virginia, US",51001.0,07/28/2020,1069,4,0.06949,0.13551,2
"Accomack, Virginia, US",51001.0,07/29/2020,1072,3,-0.00088,0.14300000000000002,1
"Accomack, Virginia, US",51001.0,07/30/2020,1074,2,0.03994,0.14506,2
"Accomack, Virginia, US",51001.0,07/31/2020,1074,0,0.06211000000000001,0.11696,3
"Accomack, Virginia, US",51001.0,08/01/2020,1077,3,0.07507,0.14321,0
"Accomack, Virginia, US",51001.0,08/02/2020,1079,2,0.17622000000000002,0.17658,2
"Accomack, Virginia, US",51001.0,08/03/2020,1080,1,0.09263,0.13007,8
"Accomack, Virginia, US",51001.0,08/04/2020,1082,2,-0.18231,0.18723,5
